sellerCountry,sellBy,itemCode,quantity,moneyPerUnit,buyerCountry,buyerBy,totalMoney,updatedAt
,DuMa,steak,250,1.9,Chile,Sebatron618,475.0,19/07/2025 19:22
Chile,Sebatron618,heavyAmmo,25,1.91,,A_Red_Raven,47.75,19/07/2025 18:48
Chile,Sebatron618,heavyAmmo,2,1.91,,Gavril,3.82,19/07/2025 18:48
Chile,Sebatron618,heavyAmmo,8,1.91,,VaasMontenegro,15.28,19/07/2025 18:26
Chile,Sebatron618,heavyAmmo,30,1.91,,BigALL,57.3,19/07/2025 18:23
Chile,Sebatron618,heavyAmmo,4,1.91,,KingArth,7.64,19/07/2025 18:23
Chile,Sebatron618,heavyAmmo,20,1.91,,BigALL,38.2,19/07/2025 18:21
Chile,Sebatron618,heavyAmmo,6,1.91,,Niesterday,11.46,19/07/2025 18:19
Chile,Sebatron618,heavyAmmo,30,1.91,,Duvhok,57.3,19/07/2025 18:19
,Malco,heavyAmmo,21,1.785,Chile,Sebatron618,37.485,19/07/2025 17:16
,Fernanditennn,heavyAmmo,34,1.785,Chile,Sebatron618,60.69,19/07/2025 16:24
,Kasane-Torres,heavyAmmo,70,1.785,Chile,Sebatron618,124.95,19/07/2025 16:06
Chile,Sebatron618,livestock,13,0.89,,Asth,11.57,19/07/2025 15:14
Chile,Sebatron618,heavyAmmo,18,1.91,,Dragonblitz301,34.38,19/07/2025 14:03
Chile,Sebatron618,heavyAmmo,4,1.91,,Niesterday,7.64,19/07/2025 13:49
Chile,Sebatron618,heavyAmmo,28,1.91,,Gamers_Revenge,53.48,19/07/2025 13:46
Chile,Sebatron618,ammo,5,0.52,,Mike_Ehrmantraut,2.6,19/07/2025 13:40
Chile,Sebatron618,ammo,4,0.52,,Beneamin-19,2.08,19/07/2025 13:31
Chile,Sebatron618,livestock,12,0.89,,KTM,10.68,19/07/2025 13:30
Chile,Sebatron618,livestock,2,0.9,,konradbolkow,1.8,19/07/2025 13:30
,kkkaru,heavyAmmo,9,1.762,Chile,Sebatron618,15.858,19/07/2025 08:18
,El_Tata,heavyAmmo,41,1.762,Chile,Sebatron618,72.242,19/07/2025 08:11
Chile,Sebatron618,livestock,5,0.95,,tallarin_guerrero,4.75,19/07/2025 03:09
Chile,Sebatron618,livestock,78,0.81,,Don_Francisco,63.18,19/07/2025 02:23
Chile,Sebatron618,livestock,37,0.81,,Don_Francisco,29.97,19/07/2025 02:23
,wish,ammo,9,0.46,Chile,Sebatron618,4.14,19/07/2025 01:48
,Legiobr,livestock,18,0.603,Chile,Sebatron618,10.854,18/07/2025 18:47
,Legiobr,livestock,14,0.603,Chile,Sebatron618,8.442,18/07/2025 18:44
Chile,Sebatron618,livestock,30,0.81,,Milanesa_de_Pollo,24.3,18/07/2025 14:48
Chile,Sebatron618,livestock,20,0.81,,Tifon_timbero,16.2,18/07/2025 14:35
Chile,Sebatron618,livestock,10,0.81,,user_3UOFFV,8.1,18/07/2025 14:18
Chile,Sebatron618,livestock,2,0.81,,MasterExegamer,1.62,18/07/2025 08:58
,Warring,livestock,20,0.601,Chile,Sebatron618,12.02,17/07/2025 18:03
